DATE,Accommodation,Accommodation and Food Services,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",Administrative and Support and Waste Management and Remediation Services,Administrative and Support Services,Air Transportation,"Architectural, Engineering, and Related Services",Automotive Repair and Maintenance,Average Hourly Earnings of All Employees Construction,Average Hourly Earnings of All Employees Education and Health Services,Average Hourly Earnings of All Employees Financial Activities,Average Hourly Earnings of All Employees Goods Producing,Average Hourly Earnings of All Employees Leisure and Hospitality,Average Hourly Earnings of All Employees Manufacturing,Average Hourly Earnings of All Employees Other Services,Average Hourly Earnings of All Employees Professional and Business Services,Average Hourly Earnings of All Employees Total Private,"Average Hourly Earnings of All Employees Trade, Transportation, and Utilities",Average Weekly Earnings of All Employees Construction,Average Weekly Earnings of All Employees Education and Health Services,Average Weekly Earnings of All Employees Financial Activities,Average Weekly Earnings of All Employees Leisure and Hospitality,Average Weekly Earnings of All Employees Manufacturing,Average Weekly Earnings of All Employees Other Services,Average Weekly Earnings of All Employees Private Service Providing,Average Weekly Earnings of All Employees Professional and Business Services,Average Weekly Earnings of All Employees Total Private,"Average Weekly Earnings of All Employees Trade, Transportation, and Utilities",Average Weekly Hours of All Employees Construction,Average Weekly Hours of All Employees Education and Health Services,Average Weekly Hours of All Employees Financial Activities,Average Weekly Hours of All Employees Goods Producing,Average Weekly Hours of All Employees Leisure and Hospitality,Average Weekly Hours of All Employees Manufacturing,Average Weekly Hours of All Employees Other Services,Average Weekly Hours of All Employees Private Service Providing,Average Weekly Hours of All Employees Professional and Business Services,Average Weekly Hours of All Employees Total Private,"Average Weekly Hours of All Employees Trade, Transportation, and Utilities",Average Weekly Hours of Production Employees Manufacturing,Business Support Services,Construction,Couriers and Messengers,Education and Health Services,Educational Services,Federal Government,Financial Activities,Food Services and Drinking Places,Goods Producing ,Government,Health Care and Social Assistance,Information ,Investigation and Security Services,Legal Services ,Leisure and Hospitality,Local Government ,Management of Companies and Enterprises ,"Management, Scientific, and Technical Consulting Services",Manufacturing,Mining and Logging,"Mining, Logging, and Construction ",New Private Housing Units Authorized by Building Permits,Other Services,Personal and Laundry Services,Private Service Providing,Professional and Business Services,"Professional, Scientific and Tech Services",Real Estate Leasing and rental Services,Real Estate,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",Retail Trade,Service-Providing,Services to Buildings and Dwellings,Social Assistance,State Government,Support Activities for Transportation,Total Nonfarm,Total Private,Transportation and Warehousing,Travel Arrangement and Reservation Services,Truck Transportation,Unemployment Rate,Utilities,Warehousing and Storage,Waste Management and Remediation Services,Water Transportation,Wholesale Trade
01-11-1990,138.4,556.1,45.6,140.9,129,34.8,48.9,36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.1,18.7,610.7,50,122.6,368.4,417.7,882.5,875,560.7,130.4,35.3,58.5,692.4,570.6,41.4,11,497.6,,,8592,212.4,65.8,3631.1,377.5,195.2,126.9,86.8,86.7,791.6,4506.1,0,66.4,181.8,31.5,5388.6,4513.6,161.6,0,35.8,6.6,34.7,15.7,11.9,8,251.4
01-12-1990,138.9,561.4,46.2,135.4,123.2,35,48.3,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.5,21,613.8,49.7,123.9,370,422.5,873.8,870.2,564.1,131.3,35.8,58.9,700,565.2,41.8,11.4,496.6,,,6933,213.3,66.1,3666.5,374.2,197,128,87.6,87.5,811.7,4536.7,0,66.6,181.1,31.8,5410.5,4540.3,165.9,0,36.2,6.4,34.7,16.3,12.2,8.1,251.6
01-01-1991,136.5,547.3,52.4,127,115.6,35.1,47.2,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,17.3,610.6,47.4,122.3,359.3,410.8,843.5,861,563.2,129.2,34.6,57.5,687,562.3,41.9,10.6,484.9,,,7141,212.5,65.2,3577.1,367.8,198.9,122.5,83.7,88,767,4438.1,0,66.5,176.4,31.9,5281.6,4420.6,158.8,0,35.1,7,34,16,11.4,7.4,250.9
01-02-1991,139.7,561,54.8,128.7,117.1,30.3,46.7,35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.6,17.5,616.6,49.6,122,360,421.3,838.5,869.5,567,128.7,35.8,57.5,705,567.6,41.6,10.8,483.5,,,7025,213.7,65.6,3594.7,372.5,202.2,122.9,83.8,88.7,760,4464.2,0,67.1,179.9,31.6,5302.7,4433.2,153.7,0,34.8,7.1,34.1,16,11.6,7.4,250.4
01-03-1991,142.6,573.7,51.3,132.2,120.6,29,46.6,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.2,17.5,618.1,45.7,122.1,361.1,431.1,838.7,874.3,572.4,128.7,37.5,58,721.6,571.4,41.8,11.1,483.1,,,7485,216.2,66.3,3622.2,374.8,200.8,124.2,84.3,89.5,762.2,4496.5,0,68.2,180.8,31.8,5335.2,4460.9,153.4,0,35.1,7,34.7,16.1,11.6,7.5,251.4
01-04-1991,140,562,52.3,124.6,113,28.6,45.9,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.1,19.9,622.1,49.1,121.9,358.7,422,830.3,872.6,573,128,38.5,58.1,706.9,569.4,41.2,11.2,479,,,8697,215.5,65.6,3593.6,366.5,200.7,124.2,85.2,89.9,755.6,4466.2,0,68.7,181.3,31.8,5296.5,4423.9,156.4,0,35.2,6.9,34.5,16.2,11.6,7.7,249.4
01-05-1991,136.7,556.6,47.1,126,114.3,29.1,46.1,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.9,19.7,624.8,48.8,122.4,359.8,419.9,832,876.6,576,128.7,39.2,58.6,698.3,569.9,41.1,11.4,479,,,9986,216,66,3589.1,364.3,197.2,124.6,85.3,90.2,754.8,4465.7,0,69.3,184.3,32.3,5297.7,4421.1,157.7,0,35.5,7.4,34.7,16.2,11.7,7.7,250
01-06-1991,135.4,548.2,45.9,124.1,112.4,29.8,46.1,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.3,19.7,623.3,45.5,123,360.7,412.8,831.8,860.6,577.8,129.7,40.2,59.5,691.6,564.2,41.4,11.6,478.4,,,9773,216.5,65.9,3581.5,363.6,198.1,124.9,85.4,91,753.6,4442.1,0,68.4,173.4,32.2,5273.9,4413.3,158.8,0,35.6,7.9,34.4,16.4,11.7,7.7,249.3
01-07-1991,133.6,533.4,43.4,122.5,110.6,31.3,46.1,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.6,19.3,618.5,40.8,122.4,358.6,399.8,821.6,806.3,577.7,130.6,41.7,59.1,674.7,510.7,43,11.7,471.8,,,9372,214.6,64.4,3544.5,360.7,195.2,122,85.4,91.7,744.7,4350.8,0,68,173.2,32.3,5172.4,4366.1,159.9,0,35.7,7.9,34.3,16.4,11.9,8,247.9
01-08-1991,132.6,534,43.9,123.4,111.4,31.4,46.1,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.1,19.4,621.8,42.2,122.3,360.1,401.4,828.3,803,579.6,130.4,42.7,59.2,672.8,506.7,43.3,12.1,475.1,,,8063,215.5,64.6,3554.9,364,197.3,123,86.6,91.8,746.1,4357.9,0,68.7,174,32.8,5186.2,4383.2,160.9,0,36,7.9,34.3,16.4,12,8,249
01-09-1991,129.3,530,44.2,122,110.1,31.2,45.5,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.1,19.5,629,48,122.3,358.3,400.7,826.8,860.8,581,130.3,43.3,58.4,665.1,559.5,43.6,12.1,475.5,,,7246,214.5,64.6,3552,362.5,196.9,121.7,85.5,91,746.9,4412.8,0,68.5,179,32.5,5239.6,4378.8,161.3,0,36.3,7.9,34.5,16.4,11.9,8,249.6
01-10-1991,128.6,525,43.5,120.3,108.5,31,44.9,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.4,20.4,633.6,50.1,122.6,358.2,396.4,822.2,871,583.5,128.4,43.8,59.2,660.5,566.5,42.6,12.2,473.3,,,7440,214.8,65.4,3557.8,360.4,197.5,122.8,85.1,91.3,753.7,4428.8,0,69.1,181.9,33.1,5251,4380,163.4,0,35.4,7.8,33.6,16.4,11.8,7.7,251.2
01-11-1991,129.7,532.5,45.2,121.1,109.2,30.5,45,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.9,20.4,639.5,51,123.3,358.8,402.8,824.3,880.2,588.5,129.3,44.5,59.5,672.3,573.8,43.4,12.4,476.1,,,6378,216.1,66.2,3607.1,365.7,201.2,123.2,85.6,91.7,776.9,4487.3,0,69.9,183.1,33.4,5311.6,4431.4,161.8,0,35.7,7.8,33.8,16.4,11.9,7.8,252.9
01-12-1991,131.3,538.5,44.8,120.4,108.5,24.6,44.8,38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.2,24.5,640.5,50.1,125,360.3,407.2,818.7,875.8,590.4,129.8,43.9,59.7,681.5,569.7,43.5,12.5,474.2,,,8458,218.5,66.4,3642.3,365.8,201.9,124,86.2,91.9,796.6,4518.1,0,70,181.1,33.9,5336.8,4461,161.4,0,35.9,7.9,33.7,17.1,11.9,8,254.2
01-01-1992,132.2,539.3,52.9,120.2,108.3,25.1,44.5,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.3,22,635.1,49,123.7,360.6,407.1,803.6,865.3,586.1,127.9,41.7,59,681.6,564.1,46.3,11.4,469.5,,,7555,219.3,66.3,3587.3,372.3,205.8,122,85.2,91.8,750.1,4452.6,0,69.8,177.5,33.8,5256.2,4390.9,158.7,0,35.5,8.7,33.2,16.8,11.9,7.8,248.5
01-02-1992,136,552.8,54.9,120.7,109,25.7,44.5,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.8,22,640.5,51,123.1,362.4,416.8,803.2,873.2,589.5,127.7,43.2,59,697.4,569.7,46.2,11.7,469.8,,,6974,220.8,66.9,3615.2,375.3,208.4,123.4,86.4,92.5,747.8,4488.4,0,70.5,180.4,34.4,5291.6,4418.4,160.7,0,35.6,8.6,33.3,16.8,11.7,7.9,249.3
01-03-1992,139.5,568.2,54.5,123.3,111.5,26.2,44.6,40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,22.1,645.7,51.8,123.1,363.5,428.7,808.2,909.5,593.9,128.9,44,59.3,716,605.8,46.6,12,471.5,,,9707,222.5,67.4,3651.9,379.9,210,124.4,87,93.1,748.5,4561.4,0,71.4,180.6,34.6,5369.6,4460.1,162.5,0,36,8.2,33.9,16.8,11.8,8,250.5
01-04-1992,137.5,562.5,52.6,125.6,113.9,26.7,44.5,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.4,21.6,651.5,51.3,123.1,363,425,809.1,876.4,600.2,126.9,45.3,59.7,710.6,572.8,43.9,12.2,470.9,,,8870,223.1,66.9,3650.5,379.2,209.7,125.5,87.8,93.6,748.4,4526.9,0,72.5,180.5,34.5,5336,4459.6,163.3,0,36.1,7.9,33.7,17.2,11.7,8.1,250.8
01-05-1992,136.3,560.7,46.8,126.6,115.1,27.2,44.9,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.6,20.3,653.2,50.4,123,364.6,424.4,813.3,878.6,602.8,127.5,46.1,60.4,706.1,572.9,44.1,12.5,471.9,,,8093,224.3,67.1,3650.4,377.1,206.4,126.6,88.4,94.1,749.6,4529,0,73.2,182.7,34.3,5342.3,4463.7,162.7,0,36.4,8.1,33.8,17.2,11.5,8.1,251.5
01-06-1992,135.4,556.1,45.8,123.5,111.8,27.3,45.1,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.3,20.3,651.4,47.2,123,365.9,420.7,816.5,868.1,604.2,127.9,46.7,61.1,701.9,573.3,44.7,12.7,472.5,,,9776,225.8,67.2,3647.6,375.8,207.6,127.1,89,95.4,749.1,4515.7,0,72.8,171.8,34.3,5332.2,4464.1,163.5,0,36.5,8.8,34.1,17.5,11.7,8.1,252.2
01-07-1992,133.7,543.2,42,118.5,106.5,27.2,44.8,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.5,20.2,647.7,42.1,122.9,365.3,409.5,817,816.2,605.6,128.6,45,61.3,686.9,519.4,44.8,12.5,471.8,,,9853,225,66,3612.5,366.5,203.2,127,89,96.1,744.5,4428.7,0,71.4,173.9,34,5245.7,4429.5,162.3,0,36.5,8.7,34,17.2,12,8.3,251.7
01-08-1992,133.8,545.6,41.6,114.8,103.1,27.2,44.7,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.7,20.3,650.3,43,122.7,364.9,411.8,818.4,803.1,607.3,128.4,46,61,688,507.5,45.4,12.8,471.1,,,8009,224.8,66.2,3614.7,363.8,203.6,126.4,88.4,96,746.8,4417.8,0,71,172.9,33.9,5236.2,4433.1,162.4,0,36.8,8.6,33.8,17,11.7,8.4,251.5
01-09-1992,131.8,541.2,42.2,118.3,106.3,26.8,44.6,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343,20.3,657.3,48.8,122.6,362.9,409.4,824.8,882.3,608.5,128.4,46.4,60.6,680.9,582.3,45.6,12.7,472.2,,,8689,224.2,66.4,3617.4,367.8,203.9,125.3,87.3,95.1,747.6,4499.7,0,72,177.4,33.7,5324.5,4442.2,162.4,0,37.3,8.6,33.9,17,12,8.4,252
01-10-1992,131.7,543.3,42.2,119.9,108.2,27.8,45,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.5,20.7,662.6,51.4,122.7,366.3,411.6,836,888,611.2,128.2,47.2,61.5,683.8,580.6,47,13.6,472.6,,,8972,226.3,66.5,3653.1,374.4,207.5,127.4,88.9,96.6,757.6,4541.1,0,72.8,184.7,34.3,5377.1,4489.1,164.8,0,37.9,7.7,33.9,16.9,11.7,8.1,255.2
01-11-1992,132.8,554.3,42.1,118.3,106.6,27.9,44.9,41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.1,20.8,666.9,51.8,122.2,366.9,421.5,841,892.5,615.1,129.1,48,61.4,698.6,585.8,47.6,13.7,475.1,,,7337,228,67.3,3707.2,374.8,208.9,127.5,88.9,97.3,785.8,4599.7,0,73.5,184.5,34.4,5440.7,4548.2,165.9,0,38.2,7.6,33.9,17.2,11.7,8,257.3
01-12-1992,133.6,558.8,43.6,119.4,107.5,28.1,45.3,41.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.7,24.2,671.9,51.5,124.3,370.3,425.2,844.5,888,620.4,130.7,48.6,61.9,705.1,579.9,47.9,13.9,477,,,8887,230.1,68.1,3762.7,380.3,213,128.8,89.5,98,810.7,4650.7,0,73.7,183.8,35.2,5495.2,4607.2,170.9,0,38.9,7.2,33.5,17.4,11.9,8.2,259.2
01-01-1993,136,563.6,49.1,119.7,107.7,28.7,45.1,41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.3,21.3,664.3,50.4,121.5,366.4,427.6,829.5,875,613.9,128.9,47.3,60.8,709.2,572.9,49.8,13.9,473.7,,,7438,229.8,67,3708.5,386.3,216.8,127.2,87.9,98.8,767.7,4583.5,0,74.5,180.6,34.5,5413,4538,166.8,0,37.5,7.8,33.6,17.1,12,8.7,255.5
01-02-1993,140.3,581.9,50.8,122.1,110,28.8,45.4,42.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.2,21.3,672.1,53,121.1,369.6,441.6,837.8,888.3,619.1,129.7,49.4,61.1,731.7,582.1,49.7,14.3,477.1,,,8604,232.9,68.4,3760,392.8,221,128.1,88.4,99.8,770.9,4648.3,0,75.9,185.1,34.6,5486.1,4597.8,168.8,0,37.8,7.4,33.7,17.5,12.1,8.8,257.8
01-03-1993,144.6,597.5,50.3,123.7,111.5,29.2,45.6,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.2,21.4,677.4,53.4,121.4,371.3,452.9,842.6,893.4,624,131.3,51.1,61.5,750.5,585.3,49.9,14.6,478.9,,,9810,234.8,69.1,3800.2,396.4,222.8,128.9,88.6,100.6,773.8,4693.6,0,76.7,186.7,34.9,5536.2,4642.8,170.5,0,38.1,7,34.1,17.4,12.2,8.7,260.1
01-04-1993,150.4,598.5,50.9,141,128.4,30.8,45.8,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.5,21,680.1,53.5,120.9,371.4,448.1,843.5,895.7,626.6,130.2,52.7,61.7,748.4,585.8,50.4,15,478.5,,,10226,235.9,69.1,3826.1,417.3,225.9,129.7,88.8,101,776.2,4721.8,0,77,189,35.3,5565.3,4669.6,172.5,0,38,6.9,34.2,17.3,12.6,8.8,259.9
01-05-1993,149.5,598.1,44.6,141.5,129,31,46.2,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.5,21.1,682.4,52.8,121.3,372.4,448.6,846.7,890.4,629.6,130.2,53.8,62.1,744.9,584.1,50.4,15.4,479.7,,,10893,235.8,68.5,3821.5,415.4,223.5,129.2,88.1,101.2,773,4711.9,0,77.6,185,34.8,5558.6,4668.2,172.8,0,38.2,6.9,33.9,17.2,12.5,8.8,260.7
01-06-1993,149.1,592.4,44.6,140,127.4,30.8,47,43.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.6,21.3,682.9,50,121.4,374.7,443.3,850.9,880.2,632.9,131.3,54.7,63,739.7,579.7,50.8,15.6,479.8,,,11052,238.1,68.7,3827.8,417.2,226.4,129.4,88,102.9,774.7,4708,0,77.7,179.1,35,5558.9,4678.7,173.9,0,38.3,7.4,33.8,17.6,12.6,8.9,261.5
01-07-1993,146,580.8,42.8,134.2,121.7,30.7,47.4,43.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.7,21.6,678.7,46.1,122,377.2,434.8,845.2,829.9,632.6,131.7,52.7,63.2,723.7,524.5,50.3,16.4,475.1,,,10118,238.4,67.7,3795.8,410.7,226.2,129.8,88.6,104.2,768.8,4625.7,0,76.3,183.4,34.4,5470.9,4641,172.5,0,38.2,7.5,33.6,17.4,12.5,8.7,260.5
01-08-1993,144.7,582.7,42.7,134.6,121.9,30.6,47.6,43.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.8,21.6,681,47.3,122,378.2,438,847.3,817.2,633.7,131.7,53.7,63.1,724.4,513,50.8,16.6,476.2,,,10119,238,67.5,3805.4,413.3,227.9,129.3,88.2,103.9,771.4,4622.6,0,75.8,182.2,34.4,5469.9,4652.7,172.8,0,38.3,7.3,33.4,17.7,12.7,8.7,261.2
01-09-1993,143.3,577.3,43.4,136.3,123.7,30.4,47.6,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.5,21.6,691.4,53.3,121.5,377.4,434,849,885.4,638.1,131.9,54,63,718.9,578.7,51.4,16.8,476.2,,,11517,238.4,67.7,3819.7,417.4,229.7,127.3,86.6,103.4,775.6,4705.1,0,77.2,185.2,34.4,5554.1,4668.7,173.5,0,38.6,7.2,33.3,17.9,12.6,8.7,261.9
01-10-1993,141.6,569,44.1,141.2,128.1,30.5,47.8,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.3,22.2,697.8,55.6,121.9,379.5,427.4,852.2,906.3,642.2,131.5,55.7,63.4,709.9,591.9,52.2,17.4,477.6,,,8940,239.3,68.3,3844.8,426.7,233.3,128.3,86.8,104,788.8,4751.1,0,77.7,192.5,35,5603.3,4697,174.8,0,38.4,7,32.9,17.5,13.1,8.7,263.6
01-11-1993,142.3,578.1,44.7,140.4,127.6,30.5,47.9,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,22.7,702.5,56.5,122.2,381.2,435.8,852.8,908,646,131.9,56.2,63.5,721.7,594.8,53.1,17.9,477.4,,,9333,240.3,68.6,3896,429.4,235.9,128.3,86.8,104.6,813.5,4804,0,78.4,191,35.2,5656.8,4748.8,176.8,0,39.2,6.7,33,17.9,12.8,8.8,265.7
